open,high,low,close,qty,tradeTime,tradeDate
106270.0,106290.0,106255.0,106267.0,37,16:14:40,2025-09-04
106255.0,106288.0,106251.0,106260.0,86,16:19:37,2025-09-04
106249.0,106290.0,106230.0,106281.0,82,16:24:51,2025-09-04
106289.0,106289.0,106268.0,106274.0,50,16:29:46,2025-09-04
106281.0,106287.0,106220.0,106220.0,60,16:34:41,2025-09-04
106226.0,106229.0,106173.0,106223.0,133,16:39:52,2025-09-04
106220.0,106240.0,106186.0,106238.0,65,16:44:59,2025-09-04
106184.0,106247.0,106184.0,106199.0,123,16:49:56,2025-09-04
106189.0,106208.0,106125.0,106182.0,148,16:54:57,2025-09-04
106185.0,106226.0,106185.0,106219.0,51,16:59:45,2025-09-04
106206.0,106277.0,106206.0,106247.0,85,17:04:59,2025-09-04
106243.0,106335.0,106233.0,106335.0,136,17:09:56,2025-09-04
106329.0,106340.0,106282.0,106311.0,211,17:14:18,2025-09-04
106311.0,106356.0,106307.0,106355.0,214,17:19:54,2025-09-04
106355.0,106432.0,106300.0,106303.0,431,17:24:56,2025-09-04
106301.0,106323.0,106266.0,106314.0,160,17:29:55,2025-09-04
106310.0,106360.0,106304.0,106359.0,102,17:34:59,2025-09-04
106349.0,106415.0,106330.0,106393.0,168,17:39:55,2025-09-04
106382.0,106390.0,106360.0,106369.0,88,17:44:46,2025-09-04
106483.0,106490.0,106419.0,106419.0,967,17:49:58,2025-09-04
106419.0,106475.0,106380.0,106380.0,233,17:54:59,2025-09-04
106388.0,106500.0,106361.0,106380.0,558,17:59:51,2025-09-04
106426.0,106461.0,106379.0,106440.0,305,18:04:35,2025-09-04
106410.0,106411.0,106278.0,106378.0,299,18:09:45,2025-09-04
106386.0,106449.0,106330.0,106408.0,177,18:14:59,2025-09-04
106388.0,106438.0,106334.0,106430.0,107,18:19:56,2025-09-04
106425.0,106456.0,106414.0,106434.0,117,18:24:56,2025-09-04
106436.0,106475.0,106421.0,106474.0,198,18:29:58,2025-09-04
106450.0,106467.0,106301.0,106359.0,249,18:34:53,2025-09-04
106351.0,106410.0,106276.0,106347.0,255,18:39:52,2025-09-04
106350.0,106449.0,106350.0,106412.0,339,18:44:55,2025-09-04
106428.0,106489.0,106370.0,106460.0,301,18:49:53,2025-09-04
106463.0,106619.0,106463.0,106606.0,893,18:54:59,2025-09-04
106612.0,106639.0,106565.0,106578.0,385,18:59:59,2025-09-04
106560.0,106629.0,106521.0,106588.0,378,19:04:55,2025-09-04
106581.0,106720.0,106581.0,106710.0,538,19:09:59,2025-09-04
106716.0,106720.0,106511.0,106543.0,652,19:14:57,2025-09-04
106535.0,106535.0,106357.0,106388.0,744,19:19:59,2025-09-04
106380.0,106445.0,106284.0,106366.0,424,19:24:55,2025-09-04
106379.0,106418.0,106340.0,106400.0,249,19:29:57,2025-09-04
106399.0,106399.0,106075.0,106125.0,1545,19:34:59,2025-09-04
106122.0,106290.0,106122.0,106280.0,511,19:39:57,2025-09-04
106270.0,106430.0,106250.0,106381.0,481,19:44:57,2025-09-04
106368.0,106368.0,106151.0,106170.0,306,19:49:55,2025-09-04
106160.0,106230.0,106105.0,106210.0,454,19:54:58,2025-09-04
106219.0,106307.0,106200.0,106300.0,188,19:59:55,2025-09-04
106300.0,106367.0,106275.0,106298.0,188,20:04:56,2025-09-04
106304.0,106400.0,106289.0,106380.0,257,20:09:54,2025-09-04
106388.0,106424.0,106367.0,106407.0,257,20:14:58,2025-09-04
106415.0,106415.0,106235.0,106235.0,232,20:19:59,2025-09-04
106252.0,106349.0,106252.0,106283.0,69,20:24:47,2025-09-04
106300.0,106400.0,106300.0,106381.0,105,20:29:58,2025-09-04
106381.0,106410.0,106339.0,106410.0,110,20:34:58,2025-09-04
106410.0,106482.0,106410.0,106475.0,393,20:39:57,2025-09-04
106478.0,106496.0,106429.0,106436.0,188,20:44:50,2025-09-04
106435.0,106488.0,106422.0,106463.0,105,20:49:59,2025-09-04
106463.0,106464.0,106362.0,106362.0,133,20:54:58,2025-09-04
106380.0,106404.0,106311.0,106373.0,200,20:59:52,2025-09-04
106376.0,106462.0,106374.0,106438.0,106,21:04:55,2025-09-04
106433.0,106465.0,106368.0,106465.0,71,21:09:51,2025-09-04
